query,intent
handicap accessible bar,find_cafe
wheelchair freindly cafe downtown,find_cafe
pharmacy,find_service
bank holiday hours,find_service
midnight food spot,find_food
breakfast place,find_cafe
pharmacy nearby spot,find_service
sunday brunch spot,find_cafe
big supermarket,find_shop
morning coffee place,find_cafe
late dinner place,find_food
restaurant for dinner,find_food
early gym nearby,find_shop
food place all night,find_food
sunday shop,find_shop
bar nearby spot,find_cafe
cafe spot,find_cafe
near me shop,find_shop
resturant late spot,find_food
phramacy spot,find_service
sundy morning cafe,find_cafe
nite food place,find_food
specialty coffee roaster,find_cafe
artisan coffee nearby,find_cafe
coffeehouse downtown,find_cafe
best latte in town,find_cafe
cafe for remote work,find_cafe
study cafe nearby,find_cafe
espresso and croissant,find_cafe
small local coffee shop,find_cafe
coffee place with wifi,find_cafe
quick coffee to go,find_cafe
eatery near me,find_food
family restaurant nearby,find_food
where can i have dinner,find_food
good place for lunch,find_food
restaurant for takeaway,find_food
quick meal downtown,find_food
local food spot,find_food
seafood place close by,find_food
asian food near me,find_food
burger place in downtown,find_food
emergency hospital close by,find_service
medical center close by,find_service
healthcare clinic nearby,find_service
banking branch downtown,find_service
financial services near me,find_service
cash withdrawal point,find_service
family doctor nearby,find_service
laboratory for blood tests,find_service
vaccination center nearby,find_service
medical help near me,find_service
retail store downtown,find_shop
mall nearby,find_shop
shopping center close by,find_shop
buy electronics near me,find_shop
home decor store,find_shop
stationery shop nearby,find_shop
computer store downtown,find_shop
mobile phone shop,find_shop
beauty products store,find_shop
neighborhood market close by,find_shop
cafe without stairs,find_cafe
barrier free restaurant,find_food
mobility access pharmacy,find_service
restaurant without stairs,find_food
step free coffee shop,find_cafe
accessible medical center,find_service
mobility scooter friendly store,find_shop
barrier free cafe nearby,find_cafe
grocery store with wheelchair access,find_shop
food spot,find_food
shop spot,find_shop
evening shop,find_shop
shop nearby,find_shop
weekend shop,find_shop
morning cafe,find_cafe
saturday cafe,find_cafe
shop spot nearby,find_shop
park and ride nearby,find_transport
charging station for electric cars,find_transport
public transit station,find_transport
bus terminal downtown,find_transport
commuter train station,find_transport
electric vehicle charger,find_transport
bicycle rental station,find_transport
parking structure nearby,find_transport
vaccination clinic nearby,find_service
where can i get vaccinated,find_service
covid testing center nearby,find_service
blood testing center,find_service
haircut place nearby,find_shop
haircut near me,find_shop
barber shop nearby,find_shop
hair salon downtown,find_shop
where to get a haircut,find_shop
need a haircut,find_shop
barber near me,find_shop
hair stylist nearby,find_shop
trim my hair,find_shop
men's haircut near me,find_shop
quick meal near downtown,find_food
fish and chips place,find_food
where can i eat dinner,find_food
ev charger nearby,find_transport
electric car charging point,find_transport
where can i lock my bicycle,find_transport
bike parking close by,find_transport
find a veterinarian for my dog,find_service
vet clinic nearby,find_service
chiropractor near downtown,find_service
coffeehouse near me,find_cafe
parking near hawthorne street,find_transport
parking near division street,find_transport
bus station near downtown,find_transport
car rental near the airport,find_transport
bike rental near the park,find_transport
taxi near the hotel,find_transport
ev charger near downtown,find_transport
parking near the stadium,find_transport
bicycle parking near the park,find_transport
car wash near division street,find_transport
taxi stand near downtown,find_transport
motorcycle parking near downtown,find_transport
fuel station near the highway,find_transport
charging station near downtown,find_transport
vehicle inspection near me,find_transport
chinese food delivery close by,find_food
crispy fried chicken nearby,find_food
ramen restaurant downtown,find_food
craving ramen tonight,find_food
fried chicken spot around here,find_food
running shoe shop nearby,find_shop
toy shop close by,find_shop
hardware shop nearby,find_shop
flower shop around here,find_shop
clothing boutique nearby,find_shop
sporting goods shop nearby,find_shop
shoe shop around here,find_shop
need to withdraw cash nearby,find_service
dog food shop nearby,find_shop
craving caffeine close by,find_cafe
desperate for caffeine,find_cafe
nice spot for a flat white,find_cafe
top rated mocha spot,find_cafe
cofee place near me,find_cafe
coffe place close by,find_cafe
cafe open right now,find_cafe
is that coffee shop open already,find_cafe
eateries open on christmas,find_food
which shops stay open this late,find_shop

"noodle shop nearby",find_food
"sushi shop downtown",find_food
"dumpling shop near me",find_food
"taco shop close by",find_food
"burger shop nearby",find_food
"kebab shop near me",find_food

"coffee shop on burnside",find_cafe
"cozy coffee shop downtown",find_cafe
"coffee shop with wifi",find_cafe
"nice coffee shop nearby",find_cafe
"local coffee shop close by",find_cafe
