query,predicted_intent,confidence,true_intent,intent_correct,filter_type,categories,relevant_total,relevant_in_boost,boost_coverage,conf_bin
pet store nearby,find_shop,84.4,,,specific_override,"['pet', 'pet_grooming']",53,53,1.0,>80%
electronics store downtown,find_shop,67.9,,,specific_override,"['electronics', 'radiotechnics']",23,23,1.0,60-80%
bookshop nearby,find_shop,28.9,,,specific_override,['books'],46,46,1.0,<40% (low)
eye doctor near me,find_service,61.3,,,specific_override,"['optician', 'doctors', 'clinic']",43,43,1.0,60-80%
urgent care near me,find_service,61.3,,,intent_boost,"['pharmacy', 'doctors', 'bank', 'hospital', 'atm', 'clinic', 'dentist', 'veterinary', 'optician', 'post_office', 'post_depot', 'library', 'school', 'fire_station', 'police', 'funeral_directors']",120,120,1.0,60-80%
vet for my dog,find_service,34.9,,,specific_override,['veterinary'],57,57,1.0,<40% (low)
wheelchair accessible cafe,find_cafe,72.7,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",20,20,1.0,60-80%
wheelchair friendly restaurant,find_food,60.2,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",20,20,1.0,60-80%
accessible pharmacy nearby,find_service,63.6,,,specific_override,['pharmacy'],20,20,1.0,60-80%
disabled access hospital,find_service,28.2,,,specific_override,['hospital'],10,10,1.0,<40% (low)
step free entrance cafe,find_cafe,45.5,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",20,20,1.0,40-60%
mobility friendly shop,find_shop,49.3,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",20,20,1.0,40-60%
atm near city center,find_service,50.0,,,specific_override,['atm'],95,95,1.0,40-60%
best cappuccino in town,find_cafe,52.8,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
cozy cafe for studying,find_cafe,57.4,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
latte near downtown,find_cafe,47.6,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
good espresso bar nearby,find_cafe,72.1,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",241,241,1.0,60-80%
quiet cafe with wifi,find_cafe,60.7,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,60-80%
need coffee asap,find_cafe,39.3,,,low_confidence_fallback,,483,0,0.0,<40% (low)
coffee and pastries near me,find_cafe,36.9,,,low_confidence_fallback,,483,0,0.0,<40% (low)
trendy cafe downtown,find_cafe,74.4,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,60-80%
where can i grab a mocha,find_cafe,23.9,,,low_confidence_fallback,,483,0,0.0,<40% (low)
breakfast cafe around here,find_cafe,55.3,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
iced coffee place nearby,find_cafe,45.1,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
cafe with outdoor seating,find_cafe,60.2,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,60-80%
good place for a flat white,find_cafe,37.5,,,low_confidence_fallback,,483,0,0.0,<40% (low)
neighborhood coffee house,find_cafe,45.4,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
grab a quick coffee,find_cafe,48.1,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
cafe closeby,find_cafe,94.4,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,>80%
coffe shop near me,find_shop,53.9,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",483,0,0.0,40-60%
any good cafes around,find_cafe,28.9,,,low_confidence_fallback,,483,0,0.0,<40% (low)
need caffeine nearby,find_cafe,27.1,,,low_confidence_fallback,,483,0,0.0,<40% (low)
coffee place with free wifi,find_cafe,53.5,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",483,483,1.0,40-60%
best local roastery nearby,find_cafe,23.8,,,low_confidence_fallback,,483,0,0.0,<40% (low)
coffe near me,find_transport,21.9,,,low_confidence_fallback,,483,0,0.0,<40% (low)
mexican food nearby,find_food,42.2,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",1800,1800,1.0,40-60%
sushi place downtown,find_food,74.1,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",67,67,1.0,60-80%
best pizza around here,find_food,46.8,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",1800,1800,1.0,40-60%
thai food near me,find_food,46.3,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",1254,1254,1.0,40-60%
chinese takeout nearby,find_shop,22.0,,,low_confidence_fallback,,1800,0,0.0,<40% (low)
vegan restaurant downtown,find_food,60.4,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",1254,1254,1.0,60-80%
bbq joint close by,find_food,57.6,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",1800,1800,1.0,40-60%
fried chicken near me,find_food,29.0,,,low_confidence_fallback,,1800,0,0.0,<40% (low)
seafood restaurant nearby,find_food,54.2,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",1254,1254,1.0,40-60%
ramen shop downtown,find_shop,54.3,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",1254,0,0.0,40-60%
lunch spot around here,find_food,25.8,,,low_confidence_fallback,,2274,0,0.0,<40% (low)
where can i get tacos al pastor,find_food,55.2,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",63,63,1.0,40-60%
kebab place nearby,find_food,35.2,,,low_confidence_fallback,,1800,0,0.0,<40% (low)
family friendly restaurant,find_food,44.6,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",1254,1254,1.0,40-60%
fancy dinner place downtown,find_food,45.1,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",1254,1254,1.0,40-60%
quick bite near me,find_food,22.4,,,no_signal_fallback,,1800,0,0.0,<40% (low)
good brunch restaurant,find_food,70.1,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",1728,1254,0.726,60-80%
pasta place open today,find_food,37.2,,,no_signal_fallback,,1254,0,0.0,<40% (low)
best burgers downtown,find_food,24.2,,,low_confidence_fallback,,68,0,0.0,<40% (low)
food near me pls,find_food,47.9,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",1800,1800,1.0,40-60%
dinner near me tonight,find_food,34.2,,,low_confidence_fallback,,1254,0,0.0,<40% (low)
takeaway pizza downtown,find_food,68.8,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",1800,1800,1.0,60-80%
good sushi rn,find_food,70.1,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",67,67,1.0,60-80%
nearest pharmacy open now,find_service,56.8,,,specific_override,['pharmacy'],47,47,1.0,40-60%
doctor office nearby,find_service,79.5,,,specific_override,"['doctors', 'clinic']",314,314,1.0,60-80%
family dentist downtown,find_service,55.4,,,specific_override,['dentist'],145,145,1.0,40-60%
need a bank branch,find_service,52.6,,,specific_override,['bank'],128,128,1.0,40-60%
hospital close by,find_service,39.5,,,specific_override,['hospital'],10,10,1.0,<40% (low)
find me a clinic,find_service,63.3,,,specific_override,"['doctors', 'clinic']",314,314,1.0,60-80%
urgent medical help nearby,find_service,55.6,,,no_signal_fallback,,130,0,0.0,40-60%
atm close to me,find_service,58.9,,,specific_override,['atm'],95,95,1.0,40-60%
where is the nearest bank,find_service,51.9,,,specific_override,['bank'],128,128,1.0,40-60%
pediatric doctor nearby,find_service,77.9,,,specific_override,"['doctors', 'clinic']",314,314,1.0,60-80%
healthcare center downtown,find_service,27.1,,,low_confidence_fallback,,324,0,0.0,<40% (low)
need cash withdrawal,find_service,28.3,,,no_signal_fallback,,95,0,0.0,<40% (low)
medical center around here,find_service,48.6,,,no_signal_fallback,,324,0,0.0,40-60%
closest dental clinic,find_service,56.8,,,specific_override,['dentist'],145,145,1.0,40-60%
pharmacy near downtown,find_service,59.2,,,specific_override,['pharmacy'],47,47,1.0,40-60%
walk in clinic nearby,find_service,64.0,,,specific_override,"['doctors', 'clinic']",120,120,1.0,60-80%
blood test center near me,find_service,33.9,,,no_signal_fallback,,314,0,0.0,<40% (low)
doctor near me asap,find_service,51.6,,,specific_override,"['doctors', 'clinic']",314,314,1.0,40-60%
need an atm machine,find_service,58.9,,,specific_override,['atm'],95,95,1.0,40-60%
nearest healthcare facility,find_service,43.5,,,intent_boost,"['pharmacy', 'doctors', 'bank', 'hospital', 'atm', 'clinic', 'dentist', 'veterinary', 'optician', 'post_office', 'post_depot', 'library', 'school', 'fire_station', 'police', 'funeral_directors']",324,324,1.0,40-60%
nearest dentist accepting walk ins,find_service,74.3,,,specific_override,['dentist'],145,145,1.0,60-80%
bank machine nearby,find_service,56.6,,,specific_override,['atm'],95,95,1.0,40-60%
need doctor asap,find_service,57.2,,,specific_override,"['doctors', 'clinic']",314,314,1.0,40-60%
grocery store nearby,find_shop,83.6,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",393,393,1.0,>80%
supermarket around here,find_shop,41.4,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",393,393,1.0,40-60%
clothing shop downtown,find_shop,55.7,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",194,194,1.0,40-60%
sneaker store nearby,find_shop,59.9,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",34,34,1.0,40-60%
toy store close by,find_shop,48.1,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",15,15,1.0,40-60%
where can i buy pet food,find_food,39.1,,,low_confidence_fallback,,53,0,0.0,<40% (low)
furniture shop near me,find_shop,49.2,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",66,66,1.0,40-60%
gift store downtown,find_shop,55.2,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",66,66,1.0,40-60%
hardware store nearby,find_shop,84.4,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",35,35,1.0,>80%
florist around here,find_cafe,21.6,,,low_confidence_fallback,,30,0,0.0,<40% (low)
mobile phone shop downtown,find_shop,54.2,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",22,22,1.0,40-60%
computer store nearby,find_shop,52.1,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",22,22,1.0,40-60%
buy headphones near me,find_shop,39.1,,,low_confidence_fallback,,22,0,0.0,<40% (low)
shopping for books downtown,find_food,22.9,,,specific_override,['books'],46,46,1.0,<40% (low)
local market nearby,find_shop,25.0,,,no_signal_fallback,,393,0,0.0,<40% (low)
thrift store around here,find_shop,38.5,,,low_confidence_fallback,,215,0,0.0,<40% (low)
fashion boutique nearby,find_shop,21.8,,,low_confidence_fallback,,194,0,0.0,<40% (low)
grocery shop open now,find_shop,73.6,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",393,393,1.0,60-80%
cheap clothes store,find_shop,44.5,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",215,215,1.0,40-60%
sports equipment shop nearby,find_shop,48.9,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",29,29,1.0,40-60%
buy a birthday gift nearby,find_shop,42.3,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",66,66,1.0,40-60%
electronics shop near me pls,find_shop,60.8,,,specific_override,"['electronics', 'radiotechnics']",23,23,1.0,60-80%
pet supplies nearby,find_shop,21.3,,,no_signal_fallback,,53,0,0.0,<40% (low)
gas station nearby,find_transport,45.3,,,intent_boost,"['parking', 'parking_space', 'parking_entrance', 'bicycle_parking', 'bicycle_rental', 'charging_station', 'fuel', 'car_wash', 'motorcycle_parking', 'car_rental', 'taxi', 'bus_station']",132,132,1.0,40-60%
nearest fuel station,find_transport,32.2,,,low_confidence_fallback,,132,0,0.0,<40% (low)
bike parking nearby,find_transport,40.6,,,specific_override,['bicycle_parking'],3967,3967,1.0,40-60%
public parking lot,find_transport,57.5,,,specific_override,"['parking', 'parking_space', 'parking_entrance']",6098,6098,1.0,40-60%
parking near city center,find_transport,61.2,,,specific_override,"['parking', 'parking_space', 'parking_entrance']",6395,6395,1.0,60-80%
charge my electric car,find_transport,50.5,,,intent_boost,"['parking', 'parking_space', 'parking_entrance', 'bicycle_parking', 'bicycle_rental', 'charging_station', 'fuel', 'car_wash', 'motorcycle_parking', 'car_rental', 'taxi', 'bus_station']",50,50,1.0,40-60%
ev charger close by,find_transport,31.9,,,specific_override,['charging_station'],50,50,1.0,<40% (low)
rent a bike nearby,find_transport,25.7,,,low_confidence_fallback,,91,0,0.0,<40% (low)
bicycle parking downtown,find_transport,60.7,,,specific_override,['bicycle_parking'],3967,3967,1.0,60-80%
where can i park,find_transport,34.4,,,no_signal_fallback,,6395,0,0.0,<40% (low)
car rental nearby,find_transport,48.7,,,intent_boost,"['parking', 'parking_space', 'parking_entrance', 'bicycle_parking', 'bicycle_rental', 'charging_station', 'fuel', 'car_wash', 'motorcycle_parking', 'car_rental', 'taxi', 'bus_station']",23,23,1.0,40-60%
taxi stand downtown,find_transport,53.4,,,intent_boost,"['parking', 'parking_space', 'parking_entrance', 'bicycle_parking', 'bicycle_rental', 'charging_station', 'fuel', 'car_wash', 'motorcycle_parking', 'car_rental', 'taxi', 'bus_station']",1,1,1.0,40-60%
park and ride location,find_transport,36.4,,,no_signal_fallback,,2785,0,0.0,<40% (low)
motorcycle parking nearby,find_transport,54.8,,,specific_override,['motorcycle_parking'],18,18,1.0,40-60%
charging station for ev,find_transport,47.0,,,specific_override,['charging_station'],50,50,1.0,40-60%
need parking asap,find_transport,34.3,,,specific_override,"['parking', 'parking_space', 'parking_entrance']",6098,6098,1.0,<40% (low)
secure bicycle parking,find_transport,69.5,,,specific_override,['bicycle_parking'],3967,3967,1.0,60-80%
parking structure downtown,find_transport,54.3,,,specific_override,"['parking', 'parking_space', 'parking_entrance']",3082,3082,1.0,40-60%
fuel up my car nearby,find_transport,39.8,,,low_confidence_fallback,,132,0,0.0,<40% (low)
bike rental station downtown,find_transport,43.9,,,specific_override,['bicycle_rental'],91,91,1.0,40-60%
accessible coffee shop nearby,find_cafe,73.9,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",54,54,1.0,60-80%
wheelchair access restaurant,find_food,48.3,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",100,100,1.0,40-60%
wheelchair accessible bank,find_service,38.3,,,specific_override,['bank'],7,7,1.0,<40% (low)
pharmacy with wheelchair access,find_service,40.2,,,specific_override,['pharmacy'],2,2,1.0,40-60%
cafe with ramp entrance,find_cafe,53.6,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",54,54,1.0,40-60%
restaurant suitable for wheelchair users,find_food,65.8,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",100,100,1.0,60-80%
easy access clinic nearby,find_service,62.4,,,specific_override,"['doctors', 'clinic']",4,4,1.0,60-80%
no stairs coffee shop,find_cafe,70.7,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",54,54,1.0,60-80%
handicap accessible store,find_shop,32.5,,,low_confidence_fallback,,40,0,0.0,<40% (low)
wheelchair friendly pharmacy,find_service,58.5,,,specific_override,['pharmacy'],2,2,1.0,40-60%
wheelchair accessible grocery store,find_shop,68.5,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",26,26,1.0,60-80%
step free pharmacy entrance,find_service,37.8,,,specific_override,['pharmacy'],2,2,1.0,<40% (low)
cafe open late tonight,find_cafe,51.7,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",262,262,1.0,40-60%
restaurant open right now,find_food,37.3,,,low_confidence_fallback,,801,0,0.0,<40% (low)
coffee shop open early morning,find_cafe,63.6,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",262,262,1.0,60-80%
grocery store open 24 7,find_shop,81.4,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",17,17,1.0,>80%
late night food nearby,find_food,50.0,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",801,801,1.0,40-60%
pharmacy open after midnight,find_service,46.0,,,specific_override,['pharmacy'],32,32,1.0,40-60%
breakfast place open now,find_cafe,31.6,,,low_confidence_fallback,,792,0,0.0,<40% (low)
what cafes are still open,find_cafe,32.5,,,low_confidence_fallback,,262,0,0.0,<40% (low)
open atm nearby right now,find_service,27.9,,,specific_override,['atm'],95,95,1.0,<40% (low)
diner open all night,find_food,29.2,,,no_signal_fallback,,801,0,0.0,<40% (low)
who is open this late,find_shop,24.2,,,no_signal_fallback,,1211,0,0.0,<40% (low)
coffee near me,find_cafe,34.5,,,low_confidence_fallback,,89,0,0.0,<40% (low)
pharmacy nearby,find_service,77.9,,,specific_override,['pharmacy'],2,2,1.0,60-80%
parking close by,find_transport,26.4,,,specific_override,"['parking', 'parking_space', 'parking_entrance']",456,456,1.0,<40% (low)
bookshop near me,find_transport,25.7,,,specific_override,['books'],10,10,1.0,<40% (low)
dentist nearby,find_service,77.9,,,specific_override,['dentist'],10,10,1.0,60-80%
atm near me,find_service,50.4,,,specific_override,['atm'],22,22,1.0,40-60%
restaurant near me,find_food,64.4,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",359,359,1.0,60-80%
is the pharmacy open right now,find_service,29.4,,,specific_override,['pharmacy'],32,32,1.0,<40% (low)
what time does the bank close today,find_service,51.7,,,specific_override,['bank'],84,84,1.0,40-60%
coffee shop open late tonight,find_cafe,51.7,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",262,262,1.0,40-60%
is there a cafe still open,find_cafe,63.3,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",262,262,1.0,60-80%
when does the post office open,find_service,35.0,,,specific_override,"['post_office', 'post_depot']",31,31,1.0,<40% (low)
what are the bakery hours today,find_cafe,52.4,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",36,36,1.0,40-60%
grocery store open now,find_shop,71.4,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",104,104,1.0,60-80%
does the pharmacy close at 8,find_service,60.7,,,specific_override,['pharmacy'],32,32,1.0,60-80%
what time does target close,find_service,27.4,,,no_signal_fallback,,80,0,0.0,<40% (low)
is the library open on sunday,find_food,25.6,,,specific_override,['library'],30,30,1.0,<40% (low)
late night food near me open now,find_food,45.8,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",801,801,1.0,40-60%
which cafes are open early morning,find_cafe,34.7,,,low_confidence_fallback,,262,0,0.0,<40% (low)
atm available 24 hours nearby,find_service,47.9,,,specific_override,['atm'],95,95,1.0,40-60%
restaurant open after midnight,find_food,59.5,,,intent_boost,"['restaurant', 'fast_food', 'food_court', 'ice_cream', 'deli']",954,801,0.84,40-60%
what time does the nearest gas station close,find_transport,34.6,,,low_confidence_fallback,,16,0,0.0,<40% (low)
is the dentist office open today,find_service,40.1,,,specific_override,['dentist'],40,40,1.0,40-60%
supermarket opening hours,find_shop,57.9,,,intent_boost,"['convenience', 'clothes', 'supermarket', 'furniture', 'gift', 'hairdresser', 'car_repair', 'pet', 'books', 'electronics', 'bicycle', 'second_hand', 'variety_store', 'pet_grooming', 'hardware', 'florist', 'jewelry', 'shoes', 'toys', 'sports', 'department_store', 'mobile_phone', 'hotel']",62,62,1.0,40-60%
coffee place open rn,find_cafe,54.4,,,intent_boost,"['cafe', 'coffee', 'bakery', 'bar', 'pub']",262,262,1.0,40-60%
bank hours saturday,find_service,40.7,,,specific_override,['bank'],84,84,1.0,40-60%
